node_1,node_2,node_3,num_occurrences
12,229,243,1
22,75,323,1
31,206,302,6
22,75,81,1
133,299,303,1
239,267,277,1
30,83,122,3
30,82,122,2
22,75,128,2
22,75,152,1
133,265,288,2
30,122,193,4
145,269,285,3
144,269,285,3
205,258,303,12
205,299,303,2
133,258,288,1
133,288,303,1
133,258,303,1
17,70,121,1
138,161,191,1
76,91,92,2
11,258,288,1
265,288,303,6
11,205,258,5
9,133,276,2
9,133,281,3
15,123,135,1
22,75,93,1
258,265,303,5
31,77,163,1
133,276,281,1
9,276,281,2
9,10,276,1
87,246,247,1
92,108,114,1
108,114,127,1
205,265,303,4
82,83,122,1
36,38,127,1
205,288,303,1
32,33,85,1
56,135,266,1
15,135,266,1
15,56,266,2
10,276,281,1
30,186,193,6
205,258,299,5
58,186,193,5
30,58,186,6
258,265,299,3
205,265,299,4
36,38,107,1
9,265,288,1
122,232,236,1
77,78,192,1
28,41,42,1
9,205,265,1
77,78,84,1
11,133,258,1
133,205,258,7
133,205,303,1
144,269,299,1
258,272,305,1
21,318,323,1
26,75,128,1
26,80,128,1
58,78,132,1
24,162,283,28
141,301,307,1
238,239,261,4
83,123,135,1
123,135,284,1
225,232,239,1
15,247,266,1
225,232,238,1
247,264,286,1
87,247,266,1
247,264,266,2
55,239,261,2
16,32,61,1
11,144,202,1
249,296,326,1
207,249,296,2
212,229,243,11
132,220,221,1
58,221,302,1
31,161,191,1
30,58,221,2
285,292,301,1
9,273,287,1
9,287,305,1
38,121,130,2
38,121,127,1
41,91,101,2
79,186,221,1
10,133,281,1
11,218,219,2
74,75,102,1
41,91,115,1
28,92,107,1
65,108,114,2
61,93,116,1
264,312,317,1
135,239,277,1
135,239,317,1
16,17,76,5
170,174,196,1
159,244,297,2
207,234,296,1
53,109,242,1
122,218,219,2
11,122,218,1
11,122,219,1
56,264,286,1
15,56,286,2
139,191,198,1
2,27,318,1
36,38,256,2
51,53,125,1
51,63,215,2
51,63,125,1
51,53,63,1
63,75,125,1
36,38,181,7
149,158,270,1
272,292,305,1
4,92,116,3
272,293,305,2
122,163,192,10
92,116,127,9
122,163,181,2
11,172,258,1
11,172,205,1
11,258,303,1
11,205,303,1
87,246,264,3
9,11,205,1
8,92,116,3
144,301,305,1
9,265,299,2
27,155,318,1
8,92,127,3
142,243,281,1
172,265,299,1
122,127,163,1
2,22,318,1
142,287,313,1
142,281,287,1
172,258,288,1
172,265,288,1
172,258,265,1
9,11,321,1
141,205,303,1
41,101,108,2
28,41,108,1
75,155,167,1
265,288,299,1
8,92,108,2
8,76,101,1
27,128,318,1
9,11,313,1
49,63,125,1
103,288,299,1
22,128,318,2
142,150,293,1
145,172,293,1
9,145,166,1
281,287,305,1
26,75,153,1
57,58,220,1
49,171,187,1
49,170,171,4
49,170,187,3
15,56,58,2
148,244,251,1
134,219,298,5
134,218,243,11
134,218,219,17
218,243,298,1
134,243,298,1
134,218,298,4
134,219,243,3
218,219,298,2
105,243,298,1
105,134,243,1
112,134,219,1
134,216,243,1
105,112,243,1
112,218,243,2
112,219,243,2
215,253,255,2
215,255,257,1
134,229,243,6
217,218,219,7
105,134,229,1
13,229,249,2
170,188,194,1
72,188,194,1
14,124,277,1
124,135,277,6
135,186,277,14
14,135,186,2
124,186,277,15
111,124,277,1
31,132,209,6
14,124,245,1
14,43,124,1
43,124,277,1
43,186,277,1
186,245,277,2
135,186,245,1
111,135,186,2
111,186,277,2
111,135,277,4
58,206,302,4
58,206,209,2
124,186,245,1
111,186,245,1
124,245,277,1
58,209,302,3
31,58,209,1
135,245,277,1
124,135,186,6
57,58,127,6
58,127,302,4
41,47,97,3
127,206,302,2
58,127,206,1
206,209,302,8
132,209,302,1
31,206,209,3
31,209,302,1
107,174,188,3
100,107,174,4
135,237,277,1
56,135,277,5
56,135,237,1
56,237,277,1
107,177,188,1
17,121,130,1
207,215,227,1
56,186,277,2
52,103,159,6
139,181,198,1
87,247,264,1
78,79,206,1
87,264,286,1
67,68,231,1
107,170,188,1
115,117,130,2
77,134,163,1
135,236,277,2
111,135,236,1
56,111,236,1
49,126,317,1
17,117,130,1
85,101,114,1
33,108,115,1
42,76,107,1
111,135,237,1
42,92,97,1
42,97,101,1
65,115,116,1
91,92,101,1
32,107,114,1
30,77,163,1
111,236,277,1
82,122,245,3
55,135,277,1
88,238,261,1
56,236,277,1
30,77,138,1
31,163,186,1
172,287,305,3
78,79,210,1
78,210,220,1
166,265,272,1
9,285,313,1
145,166,305,3
142,166,305,1
142,145,166,1
142,145,305,1
153,167,202,1
22,155,323,1
145,205,280,1
145,288,299,1
144,145,299,1
145,166,299,1
75,151,152,1
301,303,305,22
9,133,265,2
11,133,265,3
9,11,265,4
9,11,133,1
172,287,301,1
273,301,303,1
170,188,317,2
207,255,256,1
148,244,285,6
51,147,285,1
147,148,285,1
148,251,285,4
59,170,317,1
59,126,170,7
59,126,317,1
280,301,305,4
147,159,285,2
59,170,188,7
56,110,135,1
82,122,135,2
32,85,86,1
72,213,326,1
91,115,116,1
17,36,76,1
226,229,295,1
100,174,274,6
205,301,305,1
17,36,116,1
272,273,285,1
205,303,305,1
72,207,256,2
16,47,107,1
59,126,188,1
107,111,237,3
105,226,229,2
47,107,237,2
47,107,111,2
75,174,274,1
226,229,251,7
83,114,116,2
218,219,262,2
13,47,117,2
166,205,258,1
145,166,258,1
226,229,290,9
71,152,213,1
226,229,293,1
13,47,107,1
72,207,253,2
181,182,192,1
49,100,118,22
77,84,163,2
78,84,163,1
57,84,163,1
49,118,195,30
95,159,270,1
63,98,195,1
141,142,301,2
142,301,313,7
6,222,249,1
5,6,217,24
11,144,316,3
4,108,115,2
28,115,116,5
28,32,116,1
98,184,320,1
72,184,320,1
72,317,320,1
32,33,116,2
112,113,134,1
33,115,116,9
6,216,222,1
6,217,222,3
113,197,216,1
75,76,107,1
150,172,293,1
127,175,186,1
57,161,191,4
57,84,191,4
57,84,161,10
178,209,323,2
53,60,183,2
163,175,186,3
103,178,209,2
205,258,272,1
9,235,303,1
178,182,209,6
77,175,186,1
80,81,128,2
98,126,320,1
9,112,228,8
145,166,172,1
58,77,175,1
82,83,135,2
88,176,239,7
21,167,323,3
152,167,169,3
21,167,169,3
167,169,323,2
21,169,323,1
51,120,196,2
35,147,285,3
32,33,76,1
35,244,251,2
147,244,251,3
258,292,305,1
60,168,214,1
98,174,317,1
265,281,322,1
115,116,246,1
116,245,246,3
115,116,245,1
115,245,246,1
103,183,189,7
98,170,320,1
144,265,272,2
31,209,266,1
31,178,266,1
62,183,189,3
98,177,188,1
58,77,277,1
144,272,280,1
98,173,317,1
205,281,299,1
77,163,277,1
5,18,89,1
30,57,175,1
35,251,285,2
5,18,113,1
98,126,317,1
12,105,106,2
136,258,299,1
136,258,280,2
136,280,299,2
258,280,299,3
81,149,167,4
147,257,297,1
136,142,172,1
35,147,244,2
5,12,105,2
81,152,167,2
81,149,152,5
11,235,313,1
136,172,276,1
177,187,317,2
24,162,168,1
24,162,169,1
68,158,169,1
158,162,168,1
158,162,169,2
126,188,317,2
5,12,113,2
5,89,106,3
18,20,150,5
20,150,224,1
145,258,280,2
303,310,311,1
89,106,222,1
12,89,106,1
166,258,280,1
145,287,291,1
5,12,89,2
54,180,187,2
136,145,272,1
126,196,317,1
11,136,272,1
71,80,194,1
258,301,305,1
5,12,106,5
63,98,189,2
110,225,241,2
11,172,287,1
9,136,303,1
126,185,317,1
63,98,174,1
150,280,287,1
31,178,206,1
180,187,231,1
5,89,197,2
215,223,310,1
265,272,281,1
60,184,187,1
12,89,197,2
5,12,197,1
5,112,197,1
80,103,128,1
81,103,128,2
136,144,272,1
75,149,167,1
106,134,219,1
102,167,323,1
21,102,167,1
21,102,323,1
82,238,277,1
21,71,167,1
89,134,243,1
15,122,135,1
122,135,284,2
15,135,284,1
15,122,284,1
82,135,284,1
82,122,284,2
9,272,276,1
89,226,243,1
136,293,303,1
136,299,303,1
136,280,303,1
280,299,303,1
144,272,281,1
102,109,318,1
75,102,109,1
9,280,303,1
89,197,243,1
12,89,243,1
12,197,243,1
136,281,299,1
25,103,167,1
280,281,303,1
82,110,261,1
110,245,261,1
82,245,261,1
82,110,245,1
110,239,261,1
110,225,239,1
235,281,293,1
9,281,293,1
280,281,293,1
25,167,323,2
18,20,243,7
12,18,243,5
6,105,217,2
49,63,189,1
9,10,133,4
78,79,192,1
16,29,86,1
7,94,122,1
77,132,179,1
163,179,210,1
84,161,163,1
77,163,179,2
77,161,163,1
12,18,20,1
37,122,127,1
53,54,180,1
142,287,301,1
287,292,301,7
145,166,303,1
89,113,298,1
10,11,292,1
12,18,90,1
106,134,197,1
22,27,279,1
217,281,298,1
25,102,167,1
105,133,298,1
214,263,296,1
22,167,271,1
22,279,323,1
7,66,97,1
207,214,326,1
25,153,167,3
71,72,196,1
49,174,196,5
184,187,196,6
49,187,196,2
49,184,196,3
174,187,196,1
187,189,196,1
184,189,196,1
49,72,174,1
9,228,299,2
291,301,305,1
113,197,249,4
12,197,249,1
12,113,197,1
22,75,279,1
217,292,301,1
112,113,249,1
28,32,76,1
49,177,188,2
49,118,196,1
38,61,130,1
118,170,196,1
16,33,65,1
203,213,215,1
49,170,317,1
49,170,196,1
9,172,205,1
64,115,116,3
112,217,249,1
41,61,91,1
100,177,317,3
147,244,297,2
25,149,167,1
25,152,167,1
211,224,228,2
199,214,255,1
211,222,249,1
49,50,271,1
184,244,297,4
147,184,244,2
122,210,221,1
31,132,176,1
4,28,108,1
153,279,318,1
1,74,152,1
25,152,153,1
26,149,152,1
81,102,271,1
25,153,271,1
25,152,318,1
276,288,299,1
25,271,318,1
81,102,152,1
148,203,215,1
83,175,302,1
107,108,130,1
4,108,130,4
5,217,222,1
147,214,244,2
4,85,130,5
272,288,299,3
20,230,243,2
12,222,249,2
89,113,134,1
95,158,169,4
207,257,326,1
5,197,230,1
5,89,230,3
12,89,112,1
175,239,261,1
108,239,261,1
175,261,302,1
9,133,258,1
